x,y,width,height,attempt,log_attempt,made,miss,made2,made3,miss2,miss3
68,23,1,1,1,0.0,0,1,0,0,0,1
71,23,1,1,1,0.0,1,0,0,1,0,0
77,23,1,1,1,0.0,0,1,0,0,0,1
78,23,1,1,1,0.0,0,1,0,0,0,1
85,23,1,1,1,0.0,1,0,0,1,0,0
92,23,1,1,1,0.0,1,0,0,1,0,0
93,23,1,1,1,0.0,0,1,0,0,0,1
29,24,1,1,1,0.0,0,1,0,0,0,1
32,24,1,1,1,0.0,0,1,0,0,0,1
37,24,1,1,1,0.0,0,1,0,0,0,1
44,24,1,1,2,0.3010299956639812,0,2,0,0,0,2
45,24,1,1,1,0.0,1,0,0,1,0,0
46,24,1,1,1,0.0,0,1,0,0,0,1
47,24,1,1,2,0.3010299956639812,2,0,0,2,0,0
50,24,1,1,2,0.3010299956639812,1,1,0,1,0,1
51,24,1,1,3,0.47712125471966244,1,2,0,1,0,2
52,24,1,1,1,0.0,1,0,0,1,0,0
53,24,1,1,1,0.0,0,1,0,0,0,1
55,24,1,1,2,0.3010299956639812,1,1,0,1,0,1
59,24,1,1,1,0.0,1,0,0,1,0,0
62,24,1,1,4,0.6020599913279624,1,3,0,1,0,3
66,24,1,1,1,0.0,0,1,0,0,0,1
67,24,1,1,1,0.0,1,0,0,1,0,0
68,24,1,1,1,0.0,0,1,0,0,0,1
71,24,1,1,1,0.0,0,1,0,0,0,1
72,24,1,1,1,0.0,0,1,0,0,0,1
75,24,1,1,1,0.0,0,1,0,0,0,1
80,24,1,1,1,0.0,0,1,0,0,0,1
83,24,1,1,1,0.0,1,0,0,1,0,0
92,24,1,1,1,0.0,0,1,0,0,0,1
14,25,1,1,1,0.0,0,1,0,0,0,1
16,25,1,1,1,0.0,0,1,0,0,0,1
17,25,1,1,1,0.0,0,1,0,0,0,1
25,25,1,1,1,0.0,0,1,0,0,0,1
31,25,1,1,1,0.0,1,0,0,1,0,0
33,25,1,1,1,0.0,0,1,0,0,0,1
39,25,1,1,1,0.0,1,0,0,1,0,0
42,25,1,1,1,0.0,0,1,0,0,0,1
48,25,1,1,1,0.0,0,1,0,0,0,1
50,25,1,1,1,0.0,0,1,0,0,0,1
51,25,1,1,1,0.0,1,0,0,1,0,0
52,25,1,1,3,0.47712125471966244,0,3,0,0,0,3
53,25,1,1,1,0.0,0,1,0,0,0,1
55,25,1,1,2,0.3010299956639812,0,2,0,0,0,2
58,25,1,1,1,0.0,0,1,0,0,0,1
59,25,1,1,1,0.0,0,1,0,0,0,1
61,25,1,1,1,0.0,0,1,0,0,0,1
62,25,1,1,1,0.0,0,1,0,0,0,1
64,25,1,1,2,0.3010299956639812,0,2,0,0,0,2
74,25,1,1,1,0.0,0,1,0,0,0,1
75,25,1,1,3,0.47712125471966244,1,2,0,1,0,2
79,25,1,1,1,0.0,1,0,0,1,0,0
19,26,1,1,1,0.0,0,1,0,0,0,1
25,26,1,1,1,0.0,1,0,0,1,0,0
27,26,1,1,1,0.0,0,1,0,0,0,1
32,26,1,1,2,0.3010299956639812,1,1,0,1,0,1
36,26,1,1,1,0.0,0,1,0,0,0,1
37,26,1,1,1,0.0,0,1,0,0,0,1
43,26,1,1,1,0.0,0,1,0,0,0,1
44,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
45,26,1,1,1,0.0,0,1,0,0,0,1
46,26,1,1,1,0.0,0,1,0,0,0,1
47,26,1,1,1,0.0,1,0,0,1,0,0
48,26,1,1,1,0.0,0,1,0,0,0,1
49,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
51,26,1,1,2,0.3010299956639812,1,1,0,1,0,1
52,26,1,1,3,0.47712125471966244,0,3,0,0,0,3
53,26,1,1,5,0.6989700043360189,0,5,0,0,0,5
54,26,1,1,4,0.6020599913279624,1,3,0,1,0,3
55,26,1,1,1,0.0,1,0,0,1,0,0
56,26,1,1,1,0.0,1,0,0,1,0,0
57,26,1,1,1,0.0,0,1,0,0,0,1
58,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
59,26,1,1,1,0.0,1,0,0,1,0,0
60,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
61,26,1,1,1,0.0,1,0,0,1,0,0
62,26,1,1,1,0.0,0,1,0,0,0,1
63,26,1,1,1,0.0,1,0,0,1,0,0
67,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
68,26,1,1,1,0.0,0,1,0,0,0,1
70,26,1,1,1,0.0,0,1,0,0,0,1
71,26,1,1,2,0.3010299956639812,0,2,0,0,0,2
72,26,1,1,1,0.0,0,1,0,0,0,1
73,26,1,1,1,0.0,0,1,0,0,0,1
74,26,1,1,1,0.0,0,1,0,0,0,1
75,26,1,1,1,0.0,0,1,0,0,0,1
77,26,1,1,2,0.3010299956639812,1,1,0,1,0,1
78,26,1,1,1,0.0,1,0,0,1,0,0
82,26,1,1,2,0.3010299956639812,1,1,0,1,0,1
83,26,1,1,1,0.0,0,1,0,0,0,1
85,26,1,1,1,0.0,0,1,0,0,0,1
19,27,1,1,1,0.0,0,1,0,0,0,1
36,27,1,1,1,0.0,0,1,0,0,0,1
37,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
41,27,1,1,2,0.3010299956639812,2,0,0,2,0,0
42,27,1,1,1,0.0,0,1,0,0,0,1
45,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
46,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
47,27,1,1,2,0.3010299956639812,2,0,0,2,0,0
48,27,1,1,3,0.47712125471966244,1,2,0,1,0,2
49,27,1,1,6,0.7781512503836436,2,4,0,2,0,4
50,27,1,1,2,0.3010299956639812,1,1,0,1,0,1
51,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
52,27,1,1,9,0.9542425094393249,3,6,0,3,0,6
53,27,1,1,4,0.6020599913279624,0,4,0,0,0,4
54,27,1,1,3,0.47712125471966244,0,3,0,0,0,3
55,27,1,1,3,0.47712125471966244,1,2,0,1,0,2
56,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
57,27,1,1,4,0.6020599913279624,3,1,0,3,0,1
58,27,1,1,5,0.6989700043360189,1,4,0,1,0,4
59,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
60,27,1,1,2,0.3010299956639812,1,1,0,1,0,1
62,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
63,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
65,27,1,1,2,0.3010299956639812,1,1,0,1,0,1
66,27,1,1,1,0.0,0,1,0,0,0,1
67,27,1,1,3,0.47712125471966244,3,0,0,3,0,0
68,27,1,1,3,0.47712125471966244,1,2,0,1,0,2
69,27,1,1,2,0.3010299956639812,0,2,0,0,0,2
70,27,1,1,2,0.3010299956639812,1,1,0,1,0,1
71,27,1,1,2,0.3010299956639812,1,1,0,1,0,1
73,27,1,1,1,0.0,0,1,0,0,0,1
74,27,1,1,1,0.0,1,0,0,1,0,0
76,27,1,1,1,0.0,0,1,0,0,0,1
79,27,1,1,1,0.0,1,0,0,1,0,0
81,27,1,1,1,0.0,0,1,0,0,0,1
91,27,1,1,1,0.0,0,1,0,0,0,1
99,27,1,1,1,0.0,0,1,0,0,0,1
14,28,1,1,1,0.0,0,1,0,0,0,1
21,28,1,1,1,0.0,0,1,0,0,0,1
25,28,1,1,1,0.0,0,1,0,0,0,1
28,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
30,28,1,1,1,0.0,1,0,0,1,0,0
32,28,1,1,1,0.0,0,1,0,0,0,1
33,28,1,1,1,0.0,0,1,0,0,0,1
35,28,1,1,2,0.3010299956639812,1,1,0,1,0,1
36,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
38,28,1,1,1,0.0,0,1,0,0,0,1
39,28,1,1,1,0.0,0,1,0,0,0,1
40,28,1,1,1,0.0,0,1,0,0,0,1
41,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
44,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
45,28,1,1,2,0.3010299956639812,1,1,0,1,0,1
46,28,1,1,6,0.7781512503836436,2,4,0,2,0,4
47,28,1,1,2,0.3010299956639812,1,1,0,1,0,1
48,28,1,1,3,0.47712125471966244,1,2,0,1,0,2
49,28,1,1,6,0.7781512503836436,1,5,0,1,0,5
50,28,1,1,7,0.8450980400142568,1,6,0,1,0,6
51,28,1,1,8,0.9030899869919435,5,3,0,5,0,3
52,28,1,1,6,0.7781512503836436,2,4,0,2,0,4
53,28,1,1,5,0.6989700043360189,2,3,0,2,0,3
54,28,1,1,5,0.6989700043360189,0,5,0,0,0,5
55,28,1,1,3,0.47712125471966244,1,2,0,1,0,2
56,28,1,1,6,0.7781512503836436,0,6,0,0,0,6
57,28,1,1,1,0.0,0,1,0,0,0,1
60,28,1,1,4,0.6020599913279624,1,3,0,1,0,3
61,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
62,28,1,1,3,0.47712125471966244,0,3,0,0,0,3
63,28,1,1,4,0.6020599913279624,1,3,0,1,0,3
64,28,1,1,5,0.6989700043360189,2,3,0,2,0,3
65,28,1,1,3,0.47712125471966244,0,3,0,0,0,3
67,28,1,1,2,0.3010299956639812,1,1,0,1,0,1
68,28,1,1,3,0.47712125471966244,0,3,0,0,0,3
69,28,1,1,4,0.6020599913279624,1,3,0,1,0,3
70,28,1,1,2,0.3010299956639812,1,1,0,1,0,1
71,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
73,28,1,1,1,0.0,0,1,0,0,0,1
74,28,1,1,1,0.0,1,0,0,1,0,0
75,28,1,1,1,0.0,0,1,0,0,0,1
78,28,1,1,3,0.47712125471966244,1,2,0,1,0,2
79,28,1,1,1,0.0,0,1,0,0,0,1
80,28,1,1,2,0.3010299956639812,0,2,0,0,0,2
82,28,1,1,1,0.0,0,1,0,0,0,1
83,28,1,1,3,0.47712125471966244,1,2,0,1,0,2
84,28,1,1,1,0.0,0,1,0,0,0,1
87,28,1,1,1,0.0,1,0,0,1,0,0
88,28,1,1,1,0.0,0,1,0,0,0,1
90,28,1,1,1,0.0,0,1,0,0,0,1
98,28,1,1,1,0.0,0,1,0,0,0,1
18,29,1,1,1,0.0,0,1,0,0,0,1
29,29,1,1,1,0.0,0,1,0,0,0,1
32,29,1,1,1,0.0,0,1,0,0,0,1
34,29,1,1,1,0.0,0,1,0,0,0,1
35,29,1,1,1,0.0,0,1,0,0,0,1
38,29,1,1,2,0.3010299956639812,1,1,0,1,0,1
39,29,1,1,1,0.0,1,0,0,1,0,0
42,29,1,1,1,0.0,1,0,0,1,0,0
43,29,1,1,1,0.0,1,0,0,1,0,0
44,29,1,1,2,0.3010299956639812,1,1,0,1,0,1
45,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
46,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
47,29,1,1,4,0.6020599913279624,3,1,0,3,0,1
48,29,1,1,5,0.6989700043360189,3,2,0,3,0,2
49,29,1,1,5,0.6989700043360189,1,4,0,1,0,4
50,29,1,1,15,1.1760912590556813,6,9,0,6,0,9
51,29,1,1,10,1.0,1,9,0,1,0,9
52,29,1,1,2,0.3010299956639812,0,2,0,0,0,2
53,29,1,1,7,0.8450980400142568,3,4,0,3,0,4
54,29,1,1,3,0.47712125471966244,0,3,0,0,0,3
55,29,1,1,5,0.6989700043360189,1,4,0,1,0,4
56,29,1,1,6,0.7781512503836436,2,4,0,2,0,4
57,29,1,1,6,0.7781512503836436,0,6,0,0,0,6
